id,text,unit_tags,task_tags,means_tags,goal_tags,way_tags
390,Schlauchtrupp zur Löschwasserentnahme durch Unterflurhydrant vor,B O O O O O,O B I O O O,O O O B I O,O O O O O O,O O O O O O
563,oder ob es möglich ist die Leckage abzudichten,O O O O O O O O,O B I I I I I I,O O O O O O O O,O O O O O O O O,O O O O O O O O
1392,Aber auch Hitzequellen Rauchquellen oder chemische Substanzen melden und auf der Karte markieren,O O O O O O O O O O O O O,O O B I I I I I I I I I I,O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O
378,Angrifftrupp zum Aufbauen vom Dekonplatz,B O O O O,O B I I I,O O O O O,O O O O O,O O O O O
2236,Nähere dich mal UGV 2 da sind zwei Proben die er eventuell aufnehmen muss,O O O O O O O O O O O O O O,B I I I I O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O
482,wenn Sie einsatzbereit sind lautet der Einsatzauftrag bitte geben Sie mir einen Gesamtüberblick aus der Luft suchen Sie nach möglichen Rauchentwicklungen konzentrieren Sie sich besonders auf den Bereich zwischen den beiden Hochöfen beziehungsweise am linken Hochofen,O B O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O B I I I I I I I B I I I I B I I I I I I I I I I I I I I,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
2133,Dann Foto machen,O O O,O B I,O O O,O O O,O O O
1634,Frage könnt ihr den Behälter mal von einer anderen Seite anfahren und erkunden ob er noch verschlossen ist oder ob da irgendwas austritt,O O B O O O O O O O O O O O O O O O O O O O O,O O O O B I I I I I I O B I I I I I I I I I I,O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O
608,den Suchbeginn bitte mitteilen,O O O O,O B I I,O O O O,O O O O,O O O O
1868,ja Ihr Auftrag ist in das Objekt reinzufahren und den Schadensort zu scannen zu bebildern,O O O O O O O O O O O O O O O,O O O O B I I I O B I I I I I,O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O
1141,flieg mal mit der Drohne genau in die andere Richtung,O O O O O O O O O O,B I I I I I I I I I,O O B I I O O O O O,O O O O O O O O O O,O O O O O O O O O O
221,kann man die Temperatur von dem Fass messen,O O O O O O O O,B I I I I I I I,O O O O O O O O,O O O O O O O O,O O O O O O O O
791,ja such mal noch weiter,O O O O O,O B I I I,O O O O O,O O O O O,O O O O O
1821,Schlauchtrupp baut Not Dekon neben Bereitstellungsraum auf,B O O O O O O,O B I I I I I,O O O O O O O,O O O O O O O,O O O O O O O
389,Wassertrupp zur Löschwasserentnahme durch Wandhydranten vor,B O O O O O,O B I O O O,O O O B I O,O O O O O O,O O O O O O
596,Andreas und Daniel könnt ihr mir beide jeweils schon mal ein Foto von eurem aktuellen Standort senden,B I I O O O O O O O O O O O O O O,O O O O O O O B I I I I I I I I I,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O
1207,die Roboter sollen alle zurückfahren und dann treffen wir uns hier,O O O O O O O O B O O,B I I I I O O B I I O,O O O O O O O O O O O,O O O O O O O O O O B,O O O O O O O O O O O
379,Angriffstrupp baut den Dekonplatz auf,B O O O O,O B I I I,O O O O O,O O O O O,O O O O O
964,dort mit dem Roboter hinfahren und mit der Menschensuche beginnen,O O O O O O O O O O,O O O O B O B I I I,O B I I O O O O O O,B O O O O O O O O O,O O O O O O O O O O
363,Angriffstrupp mit der Schlauchbrücke zur Gefahrenquelle vor,B O O O O O O,O O O O O O O,O B I I O O O,O O O O B I O,O O O O O O O
818,folgenden Auftrag an Roboter 2 suchen Sie den Standort des Roboters 1,O O O B I O O O O O O O,O O O O O B I I I I I I,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
368,Maschinist stellt die Pumpe bereit,B O O O O,O B I I I,O O O O O,O O O O O,O O O O O
366,Wassertrupp Löschangriff mit Wasser Schaum und Pulver aufbauen,B O O O O O O O,O B I I I I I I,O O B I I I I O,O O O O O O O O,O O O O O O O O
1390,Sie suchen die nördliche Gebäudewand in westlicher Richtung ab,B O O O O O O O O,O B I I I I I I I,O O O O O O O O O,O O B I I O O O O,O O O O O O O O O
652,baldmöglich erstes Bildmaterial senden,O O O O,B I I I,O O O O,O O O O,O O O O
408,Sie trennen Metallteil mit einer Trennschleifmaschine,B O O O O O,O B I O O O,O O O B I I,O O O O O O,O O O O O O
425,D1 macht erkundet weiter und sendet die Fotos der Halle,B O O O O O O O O O,O O B I O B I I I I,O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
2525,D3 mit Überfass ist am Standort angekommen für sie Beginn des Auftrages Bergung des Behältnisses kommen,O O O O O O O O B O O O O O O O,O O O O O O O O O O O O B I I O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
2076,Einsatzauftrag du fährst den langen Gang entlang ich gehe mal davon aus dass es am südlichen Wand der Halle ist und bleibst bitte auf der Ebene,O B O O O O O O O O O O O O O O O O O O O O O O O O,O O B I I I I O O O O O O O O O O O O O O B I I I I,O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O
88,UGV 1 aber warten,B I O O,O O O B,O O O O,O O O O,O O O O
926,bräuchte nur noch ein klareres Foto von der Person,O O O O O O O O O,B I I I I I I I I,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
429,D5 fährt zur Unterstützung des Angriffstrupps,B O O O O O,O B I I I I,O O O O O O,O O O O O O,O O O O O O
1459,ihr nehmt aber die westliche Richtung,B O O O O O,O B I I I I,O O O O O O,O O O O O O,O O O B I I
1863,auf Menschen und sonstige Ereignisse scannen,O O O O O O,B I I I I I,O O O O O O,O O O O O O,O O O O O O
1042,Auftrag ist Erkundung nach weiteren Zugangsmöglichkeiten nach Verletzten,O O O O O O O O,O O B I I I I I,O O O O O O O O,O O O O O O O O,O O O O O O O O
880,ich möchte Infrarot Bilder haben mit dem Ziel Leckagen festzustellen beziehungsweise Wärmestrahlung,O O O O O O O O O O O O,B I I I I I I I I I I I,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
388,Wassertrupp zur Löschwasserentnahme durch eingebaute Tiefenpumpen vor,B O O O O O O,O B I O O O O,O O O B I I O,O O O O O O O,O O O O O O O
442,D4 macht die Bilder in der Lagerhalle innen und außen,B O O O O O O O O O,O B I I O O O O O O,O O O O O O O O O O,O O O O B I I I I I,O O O O O O O O O O
2457,Für sie bitte die inbetriebnahme der Roboter D3 und D5 kommen,O B O O O O O O O O O,O O O O B I I I I I O,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
397,Der Trupp leuchtet den Gefahrenbereich mit dem Handscheinwerfer,B I O O O O O O,O O B I I O O O,O O O O O B I I,O O O O O O O O,O O O O O O O O
1517,kannst du mir ein Bild schicken,O B O O O O,B I I I I I,O O O O O O,O O O O O O,O O O O O O
1817,Angriffstrupp und Schlauchtrupp bauen Geräteablage auf,B I I O O O,O O O B I I,O O O O O O,O O O O O O,O O O O O O
860,nächster Auftrag weitere Personensuche,O O O O,O O B I,O O O O,O O O O,O O O O
423,UAV Operator macht den Überblick und sendet die Bilder,B B O O O O O O O,O O B I I O B I I,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
2450,WHS für sie zur Information die Drohne D1 ist zur Außenerkundung vor Für sie Auftrag Erkundung innen der Halle kommen,O O B O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O B I I I O,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O
374,Maschinist zur Bedienung von Stromerzeuger und Ausleuchten der Einsatzstelle bei Nacht vor,B O O O O O O O O O O O,O B I I I O B I I I I O,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
992,Operator 1 schickst du mir das nochmal rüber ich habe nichts gekriegt hier,B I O O O O O O O O O O O,O O B I I I I I O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O
392,Wassertrupp spritzt das Gebiet mit Wasser mit der Kübelspritze,B O O O O O O O O,O B I I I I O O O,O O O O O O B I I,O O O O O O O O O,O O O O O O O O O
990,Operator 1 schickst du mir die Bilder auch einmal rüber die du gemacht hast,B I O O O O O O O O O O O O,O O B I I I I I I I I I I I,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O
802,und von dort geradeaus weiter auf die Person zufahren,O O O O O O O O O,O O O O O B I I I,O O O O O O O O O,O O O O O O O O O,O B I I I O O O O
30,hast du eine Möglichkeit dass Fass näher zu identifizieren was da drin ist,O B O O O O O O O O O O O,B I I I I I I I I I I I I,O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O
1250,Position beibehalten,O O,B I,O O,O O,O O
665,vorrängig weiter Personen suchen,O O O O,B I I I,O O O O,O O O O,O O O O
2217,Bleib mal gerade an der Position wir starten dich noch gerade neu,O O O O O O O O O O O O,B I I I I I O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
422,Angriffstrupp zur Menschenrettung mit Pressluftatmern und 1 Rohr ins Wohnzimmer durch den Hauseingang vor,B O O O O O O O O O O O O O,O B I O O O O O O O O O O O,O O O B I I I I O O O O O O,O O O O O O O O B I O O O O,O O O O O O O O O O B I I O
2468,Frage ich kann das bild ihrer Drohne auf dem Bildschirm sehen können sie die Kamera so positionieren dass man das gefahrgut kennzeichen sieht kommen,O O O O O O O O O O O O B O O O O O O O O O O O,O O O O O O O O O O O O O B I I I I I I I I I O,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O
943,unsere Aufgabe ist es halt Menschenrettung,O O O O O O,O O O O O B,O O O O O O,O O O O O O,O O O O O O
330,noch ein Bild schicken und das aber mit einem Schwarz Weiß Hintergrund,O O O O O O O O O O O O,B I I I I I I I I I I I,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
870,guck mal auch nebenbei so ein bisschen nach dem Feuer,O O O O O O O O O O,B I I I I I I I I I,O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
1914,bitte darauf achten eine Bezeichnung auf dem Kanister zu erkennen,O O O O O O O O O O,O O O B I I I I I I,O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
2139,Gib mir bitte nochmal ein Foto von deiner Fahrtrichtung,O O O O O O O O O,B I I I I I I I I,O O O O O O O O O,O O O O O O O O O,O O O O O O O O O
376,Wassertrupp sichert die Einsatzstelle gegenüber dem Verkehr,B O O O O O O,O B I I I I I,O O O O O O O,O O O O O O O,O O O O O O O
2171,Und jetzt fahrt ihr beide hintereinander her zum Punkt ASA 325   352 danke,O O O B I O O O O O O O O O O,O O B I I I I I I I I I I I O,O O O O O O O O O O O O O O O,O O O O O O B I I I I I I I O,O O O O O O O O O O O O O O O
2427,D2 ist einsatzbereit das ist verstanden Bitte auf Übungsbeginn warten kommen,B O O O O O O O O O O,O O O O O O O B I I O,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
54,zu allen Roboter mal kurz Stop,B I I O O O,O O O B I I,O O O O O O,O O O O O O,O O O O O O
1234,starten Sie Ihre Roboter zur Erkundung der Area ist eine unklare Sache wir wissen noch nicht genau was da passiert ist,O B O O O O O O O O O O O O O O O O O O O,B I I I I I I I O O O O O O O O O O O O O,O O B I O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O
411,Der Angriffstrupp trennt die Stahlteilen mit dem Brennschneidgerät,B I O O O O O O,O O B I I O O O,O O O O O B I I,O O O O O O O O,O O O O O O O O
2149,Und weiter mappen,O O O,O B I,O O O,O O O,O O O
1179,immer noch Menschen suchen ne,O O O O O,O O B I O,O O O O O,O O O O O,O O O O O
2335,Okay konntest du denn eine Probenahme beenden,O O B O O O O,O O O O B I I,O O O O O O O,O O O O O O O,O O O O O O O
444,D2 bewegt sich Richtung Norden,B O O O O,O B I O O,O O O O O,O O O B I,O O O O O
1330,Unsere Aufgabe erstellen einer Karte des Gebäudes,O O O O O O O,O O B I I I I,O O O O O O O,O O O O O O O,O O O O O O O
1547,ja fahrt da mal rein,O O O O O,O B I I O,O O O O O,O O O O B,O O O O O
1455,bewegt ihr euch mal in südlicher Richtung und sucht das Gelände mal nach gefährlichen Stoffen ab kommen,O B O O O O O O O O O O O O O O O,B I I I I I I I I I I I I I I I O,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O,O O O O B I I O O O O O O O O O O
456,Drohnenoperator zur Personensuche mit WHS vor,B O O O O O,O B I O O O,O O O B I O,O O O O O O,O O O O O O
1908,mach mal ein Foto davon,O O O O O,B I I I I,O O O O O,O O O O O,O O O O O
1201,fahr zu dem grünen Fass und erkunde um dieses grüne Fass herum warum es da raucht,O O O O O O O O O O O O O O O O,B O O O O O B I I I I I I I I I,O O O O O O O O O O O O O O O O,O B I I I O O O O O O O O O O O,O O O O O O O O O O O O O O O O
1666,ja schickst du mir nochmal ein Bild,O O B O O O O,O B I I I I I,O O O O O O O,O O O O O O O,O O O O O O O
386,Schlauchtrupp zur Löschwasserentnahme über ein Saugschacht und ein Saugrohr vor,B O O O O O O O O O,O B I O O O O O O O,O O O B I I I I I O,O O O O O O O O O O,O O O O O O O O O O
375,Wassertrupp stellt die Wasserversorgung bereit,B O O O O,O B I I I,O O O O O,O O O O O,O O O O O
1862,bitte auch per Infrarot bitte,O O O O O,O O O O O,O O B I O,O O O O O,O O O O O
1481,bleibt mal auf der Ebene und fahrt weiter in westlicher Richtung und erkundet dort,O O O O O O O O O O O O O O,B I I I I O B I I I I I I I,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O B I I O O O
1262,da ich eine leichte Rauchentwicklung auf der linken Seite sehe bitte den Weg zur linken Seite fortsetzen,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O B I I I I I,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O B I I O,O O O O O O O O O O O O O O O O O
963,Auftrag für dich geradeaus die Treppe hochfahren 50 meter rein linksseitig dichte Rauchentwicklung,O O B O O O O O O O O O O,O O O O B I I I I I I I I,O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O B O O O O O O O O O
1030,Lena jetzt sag mir mal genau den Standort dieser Person,B O O O O O O O O O,O O B I I I I I I I,O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
2686,Dann Auftag für den D3 das Fass an die Gefahrengrenze bringen,O O O O B O O O O O O,O O O O O B I I I I I,O O O O O O O O O O O,O O O O O O O B I I O,O O O O O O O O O O O
831,benötige Luftbild mit möglichst der leblosen Person die auf dem Wärmescan den ich hier habe zu sehen ist,O O O O O O O O O O O O O O O O O O,B I I I I I I I I I I I I I I I I I,O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O
439,D vier macht die Abmessung mit dem Gas Sensor,B I O O O O O O O,O O B I I O O O O,O O O O O B I I I,O O O O O O O O O,O O O O O O O O O
487,da ein Foto machen,O O O O,B I I I,O O O O,O O O O,O O O O
2567,Für sie Erkundungsauftrag Panoramabild der gesammten Lagerhalle kommen,O B O O O O O O,O O B I I I I O,O O O O O O O O,O O O O O O O O,O O O O O O O O
457,D2 schließt den Container mit dem Arm,B O O O O O O,O B I I O O O,O O O O B I I,O O O O O O O,O O O O O O O
1422,Wenn Sie sich an der nördlichen Gebäudewand entlang nach Westen bewegen nehmen sie immer so den Victim als Ziel,O O O O O O O O O O O O B O O O O O O,O O O O O O O O O O O B I I I I I I I,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O B I O O,O O O O O O O O O O O O O O O O O O O
2291,Konntest du schon mal was erkennen sind die Behälter dicht oder undicht,O B O O O O O O O O O O,O O O O O B I I I I I I,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
10,dann bitte mal eins gerade vorweg,O O O O O O,B I I I I I,O O O O O O,O O O O O O,O O O O O O
1190,ich hab im Moment keinen Roboter einsatzbereit kannst du gucken ob du dieses Fass findest und entsprechende Bilder machst,O O O O O O O O B O O O O O O O O O O,O O O O O O O B I I I I I I I I I I I,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O
1355,Teilen Sie mir bitte auch mal ein Foto in ihrer Fahrtrichtung,O B O O O O O O O O O,B I I I I I I I I I I,O O O O O O O O O O O,O O O O O O O O O O O,O O O O O O O O O O O
2285,Wenns geht fährst du nicht den Weg zurück den du gekommen bist sondern eben erst mal Richtung Süden von Darmstadt aus und dann wieder Richtung Richtung Startpunkt sozusagen,O O O B O O O O O O O O O O O O O O O O O O O O O O O O,O O B I I I I I I I I I I I I I I I I I I I I I I I I O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O O O O
1511,ja fahr mal rein,O O O O,O B I O,O O O O,O O O B,O O O O
1271,ja wenns geht näher ranfahren zum Lokalisieren wo dieser Rauch entsteht und Foto machen und mir senden,O O O O O O O O O O O O O O O O O,O O O B I I I I I I I O B I I I I,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O
414,Sie transportieren die Person in einem Rettungstuch,B O O O O O O,O B I I O O O,O O O O B I I,O O O O O O O,O O O O O O O
954,von oben uns Fotos machst und guckst wo wir ne Rauchentwicklung haben und auch mit der Infrarot Kamera,O O O O O O O O O O O O O O O O O O,B I I I I O B I I I I I O O O O O O,O O O O O O O O O O O O O B I I I I,O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O
488,Operator Boden 2 ein Foto senden,B I I O O O,O O O B I I,O O O O O O,O O O O O O,O O O O O O
1731,ja dann könnt ihr direkt mal erkunden wie aus der Position wo UGV zw  eins sich momentan befindet das andere Fass zu sehen war,O O O B O O O O O O O O O O O O O O O O O O O O O,O O O O O O B I I I I I I I I I I I I I I I I I I,O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O O
2179,Nimm doch mal bitte einen Rundblick,O O O O O O,B I I I I I,O O O O O O,O O O O O O,O O O O O O
982,du sollst zur Rauchentwicklung fahren,B O O O O,O O B I I,O O O O O,O O B I O,O O O O O
1755,die Rauchentwicklung die das UAV gemeldet hat könnt ihr da näher erkunden inwiefern wir da noch mit Kräften vorgehen können,O O O O O O O O B O O O O O O O O O O O,O O O O O O O O O O B I I I I I I I I I,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O
359,Mit dem Schlauchhaspel den Verbindungsschlauch vom Hydrant zur Beregnungsmaschine verlegen,O O O O O O O O O O,O O O B I I I I I I,B I I O O O O O O O,O O O O O O O B I O,O O O O O O O O O O
523,einmal ein Foto machen,O O O O,B I I I,O O O O,O O O O,O O O O
1823,Einsatzausrüstung für den Brandeinsatz,O O O O,B I I I,O O O O,O O O O,O O O O
95,ja jetzt haben wir die Erkundung der rückwärtigen Seite in nördlicher Bereich,O O O O O O O O O O O O,O O O O O B I I I I I I,O O O O O O O O O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
1383,Für Sie Auftrag Sie sind mit Messgeräten zur Gasmessung ausgestattet alle 15 Minuten die Gaskonzentration messen,O B O O O O O O O O O O O O O O,O O O O O O O O O O B I I I I I,O O O O O B I O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
358,Mit dem Schlauchhaspel den Verbindungsschlauch von der Pumpe zur Beregnungsmaschine verlegen,O O O O O O O O O O O,O O O B I I I I I I I,B I I O O O O O O O O,O O O O O O O O B I O,O O O O O O O O O O O
401,Trupp entfernt es mit dem Klappmesser,B O O O O O,O B I O O O,O O O B I I,O O O O O O,O O O O O O
2237,Fahr mal bitte näher daran und mach mal Foto wie er das macht,O O O O O O O O O O O O O,B I I I I O B I I I I I I,O O O O O O O O O O O O O,O O O O O O O O O O O O O,O O O O O O O O O O O O O
415,Sie transportieren die Person in der Krankentrage,B O O O O O O,O B I I O O O,O O O O B I I,O O O O O O O,O O O O O O O
450,Sie bewegen sich zum Fenster auf der rechten Seite,B O O O O O O O O,O B I O O O O O O,O O O O O O O O O,O O O B I I I I I,O O O O O O O O O
427,D3 fährt in die Halle rein,B O O O O O,O B I I I I,O O O O O O,O O B I I O,O O O O O O
2500,Das ist so korrekt der befindet sich gerade in der Anfahrt zum Gefahrgutobjekt für sie logistische Unterstützung durch den D3 mit dem Überfass kommen,O O O O O O O O O O O O O O B O O O O O O O O O,O O O O O O O O O O O O O O O B I I I I I I I O,O O O O O O O O O O O O O O O O O B I I O O O O,O O O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O O O O O O O O O
257,könnt ihr was erkunden was da in lauter Rauch steht,O B O O O O O O O O,B I I I I I I I I I,O O O O O O O O O O,O O O O O O O O O O,O O O O O O O O O O
2535,Der D1 ist jetzt gerade im Akkuwechsel für sie Übergangsaufrag Bilddarstellung in der Lagerhalle innen kommen,O O O O O O O O B O O O O O O O,O O O O O O O O O O B I I I I O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O O
405,Trupp trennt die Zäunen mit dem Bolzenschneider,B O O O O O O,O B I I O O O,O O O O B I I,O O O O O O O,O O O O O O O
360,Wassertrupp mit dem Rollschlauch zur Brandbekämpfung vor,B O O O O O O,O B I I I I I,O B I I O O O,O O O O O O O,O O O O O O O
2442,Die Einsatzstelle wurde begangen Wir haben einen Gefahrstoffunfall in einem Lager Für sie erkundungsauftrag außerhalb der Halle danach bei mir melden kommen,O O O O O O O O O O O O B O O O O O O O O O,O O O O O O O O O O O O O B O O O B I I I O,O O O O O O O O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O B I I O O O O O,O O O O O O O O O O O O O O O O O O O O O O
2395,Ja für sie Aufträge einmal Kommunikation zu den Robotertrupps checken und fragen ob Einsatzbereitschaft kommen,O O B O O O O O O O O O O O O,O O O O O B I I I I O B I I O,O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O,O O O O O O O O O O O O O O O
2612,Ja für sie Unterstützung durch Bildübertragung des D2 bei der Fassversiegelung kommen,O O B O O O O O O O O O,O O O B I I I I I I I O,O O O O O O O B O O O O,O O O O O O O O O O O O,O O O O O O O O O O O O
2180,Wenn du da nichts entdeckst weiter Richtung Osten,O O O O O O O O,B I I I I I I I,O O O O O O O O,O O O O O O O O,O O O O O O O O
2043,ja UGV 2 wir brauchen nochmal schärfere Bilder von dem Fass und der Kennzeichnung,O B I O O O O O O O O O O O,O O O O O O B I I I I I I I,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O,O O O O O O O O O O O O O O
403,Sie zerbrechen die Deckel mit der Holzaxt,B O O O O O O,O B I I O O O,O O O O B I I,O O O O O O O,O O O O O O O
